,Year,Team,Player,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,SOS
151,2003,GSW,Derrick Zimmerman,Career,Mississippi State,,127.0,71.0,26.0,2.5,5.2,0.47700000000000004,2.2,4.1,0.5329999999999999,0.3,1.1,0.268,1.6,2.6,0.6,,,3.3,4.0,1.6,0.7,2.6,2.1,6.9,,7.33
152,2003,SEA,Willie Green,Career,Detroit,,124.0,119.0,30.0,5.2,11.4,0.461,4.3,8.6,0.495,1.0,2.8,0.35200000000000004,2.9,3.8,0.757,,,4.2,2.2,0.9,0.3,2.0,2.3,14.3,,0.88
153,2003,MIL,Keith Bogans,Career,Kentucky,,135.0,122.0,29.0,5.0,11.4,0.43700000000000006,3.1,5.9,0.527,1.9,5.5,0.342,2.4,3.5,0.688,,,4.1,2.3,1.1,0.1,2.3,2.0,14.2,,11.27
154,2003,CHI,Matt Bonner,Career,Florida,,131.0,81.0,25.0,4.4,8.8,0.503,3.2,5.6,0.564,1.3,3.2,0.395,1.9,2.5,0.74,,,5.9,1.2,0.7,0.5,1.3,2.0,12.0,,8.03
156,2003,IND,James Jones,Career,Miami (FL),,122.0,88.0,27.5,3.8,8.9,0.426,2.8,6.3,0.444,1.0,2.7,0.38299999999999995,2.5,3.0,0.831,,,5.0,1.2,1.1,1.6,1.5,2.1,11.1,,5.18
158,2003,CHI,Tommy Smith,Career,Arizona State,,122.0,71.0,21.9,3.6,7.3,0.5,3.5,6.8,0.513,0.1,0.5,0.31,1.8,3.0,0.593,,,4.8,1.7,1.0,1.4,2.5,3.5,9.2,,8.45
159,2003,MIN,Rick Rickert,Career,Minnesota,,63.0,62.0,29.4,5.4,11.5,0.469,4.1,7.9,0.518,1.3,3.6,0.361,2.8,4.0,0.693,1.8,4.0,5.7,1.3,0.7,1.0,2.0,2.8,14.9,,6.88
160,2003,BOS,Brandon Hunter,Career,Ohio,,119.0,119.0,32.6,5.9,11.6,0.51,5.6,10.7,0.525,0.3,1.0,0.33899999999999997,4.7,7.8,0.608,,,9.3,2.1,0.8,0.7,3.4,2.6,16.9,,1.82
161,2004,CHA,Emeka Okafor,Career,UConn,,103.0,103.0,31.8,5.7,9.7,0.59,5.7,9.7,0.59,0.0,0.0,,2.4,4.3,0.564,3.4,7.2,10.6,0.8,0.9,4.3,2.0,2.6,13.8,,7.61
162,2004,CHI,Ben Gordon,Career,UConn,,106.0,74.0,31.0,5.6,12.7,0.44,3.2,7.2,0.452,2.3,5.5,0.423,3.5,4.4,0.795,0.8,3.1,3.9,4.1,1.2,0.2,2.8,2.3,16.9,,7.61
164,2004,ATL,Josh Childress,Career,Stanford,,86.0,57.0,28.6,4.5,10.2,0.43799999999999994,3.3,6.6,0.494,1.2,3.6,0.335,2.2,2.8,0.755,1.9,4.9,6.8,1.8,0.9,1.1,1.7,2.1,12.3,,7.25
166,2004,TOR,Rafael Araújo,Career,BYU,,62.0,62.0,27.4,5.9,10.4,0.5670000000000001,5.7,9.8,0.5870000000000001,0.2,0.7,0.268,3.1,4.5,0.691,2.9,6.6,9.5,1.2,1.4,0.6,2.9,3.4,15.1,,5.8
169,2004,UTA,Kris Humphries,Career,Minnesota,,29.0,28.0,34.1,7.6,17.2,0.444,7.0,15.4,0.455,0.6,1.7,0.34,5.9,7.9,0.742,3.1,7.0,10.1,0.7,0.9,1.1,2.8,2.2,21.7,,5.36
170,2004,UTA,Kirk Snyder,Career,Nevada,,84.0,74.0,30.8,5.7,13.3,0.426,4.4,9.3,0.47700000000000004,1.3,4.1,0.31,4.1,6.0,0.677,2.3,4.1,6.4,2.7,0.9,0.8,3.1,2.4,16.7,,3.25
171,2004,DEN,Jameer Nelson,Career,St. Joseph's,,125.0,125.0,34.5,5.6,12.4,0.45399999999999996,3.8,7.4,0.514,1.8,5.0,0.365,3.7,4.7,0.7859999999999999,1.0,3.6,4.6,5.7,2.0,0.1,3.0,2.2,16.8,,4.12
172,2004,BOS,Delonte West,Career,St. Joseph's,,89.0,56.0,26.8,5.1,10.3,0.489,3.8,7.0,0.544,1.3,3.4,0.377,2.5,3.0,0.831,1.0,3.2,4.2,3.0,1.4,0.2,2.0,1.9,13.9,,4.0
173,2004,BOS,Tony Allen,Career,Oklahoma State,,67.0,62.0,31.4,5.5,11.5,0.47700000000000004,4.7,9.3,0.508,0.8,2.2,0.34700000000000003,3.5,5.2,0.682,1.7,3.7,5.5,2.9,2.0,0.8,2.8,2.9,15.3,,7.84
174,2004,SAC,Kevin Martin,Career,Western Carolina,,79.0,77.0,31.8,7.2,15.5,0.462,4.9,9.1,0.542,2.2,6.4,0.34600000000000003,6.8,8.0,0.841,0.9,3.5,4.5,1.7,1.7,0.4,2.9,2.1,23.3,,-3.74
175,2004,IND,David Harrison,Career,Colorado,,88.0,82.0,28.2,5.6,9.2,0.601,5.6,9.2,0.602,0.0,0.0,0.0,3.9,7.0,0.5529999999999999,3.4,4.6,8.0,0.6,0.6,2.6,2.4,3.4,15.0,,6.73
176,2004,CHI,Jackson Vroman,Career,Iowa State,,63.0,62.0,30.6,5.4,9.7,0.5579999999999999,5.4,9.5,0.569,0.0,0.2,0.077,2.4,4.7,0.512,3.1,6.3,9.5,2.1,1.2,1.1,2.8,3.6,13.2,,7.06
177,2004,LAC,Lionel Chalmers,Career,Xavier,,123.0,99.0,31.7,4.2,9.8,0.425,2.3,4.7,0.483,1.9,5.1,0.37200000000000005,2.4,3.4,0.716,0.5,2.4,2.9,3.3,1.3,0.1,2.7,2.2,12.7,,4.78
178,2004,SEA,Andre Emmett,Career,Texas Tech,,128.0,97.0,32.3,6.9,13.8,0.5,6.5,12.4,0.52,0.4,1.4,0.312,3.4,4.9,0.703,2.1,3.9,6.0,1.6,1.3,0.3,1.9,1.3,17.6,,7.3
179,2004,ORL,Antonio Burks,Career,Memphis,,91.0,80.0,30.6,4.3,9.2,0.469,3.6,7.4,0.484,0.7,1.7,0.401,2.0,3.0,0.6729999999999999,0.5,2.1,2.6,5.4,1.9,0.2,2.3,2.3,11.3,,5.31
180,2004,ATL,Royal Ivey,Career,Texas,,133.0,126.0,24.7,2.8,6.1,0.455,2.4,4.9,0.483,0.4,1.2,0.33799999999999997,1.9,2.6,0.7090000000000001,1.1,1.9,3.1,2.3,0.9,0.2,1.5,2.7,7.8,,9.14
181,2004,CHI,Chris Duhon,Career,Duke,,144.0,113.0,33.4,3.0,7.2,0.418,1.9,3.7,0.511,1.1,3.5,0.321,1.7,2.4,0.693,0.8,2.6,3.4,5.7,2.1,0.1,2.5,1.9,8.8,,10.09
182,2004,BOS,Justin Reed,Career,Ole Miss,,122.0,114.0,28.7,5.6,11.7,0.47600000000000003,5.2,10.4,0.5,0.4,1.3,0.285,3.1,4.4,0.7070000000000001,2.4,3.9,6.3,1.1,1.0,0.7,2.4,3.2,14.6,,7.16
183,2004,SEA,David Young,Career,Clemson,,97.0,49.0,22.4,2.7,6.5,0.41200000000000003,1.3,2.4,0.53,1.4,4.1,0.34299999999999997,0.9,1.3,0.728,,,2.1,3.4,1.2,0.4,2.0,2.2,7.7,,7.57
